LP,OutCome,TradeCcy,Side,TradeTime,ProductType,NearPrice,NearPriceShown,FarPrice,FarPriceShown,MissedFP
LP_1,LOST,AUD,BS,2021-04-05 08:09:22.677,SWAP,0.7618449999999999,0.7620622904980833,0.7617449999999999,0.7615252805159857,0.0
LP_1,LOST,AUD,BS,2021-04-05 10:23:34.337,SWAP,0.7623599999999999,0.7626015389134788,0.7622599999999999,0.761995993324033,0.0
LP_1,LOST,AUD,SB,2021-04-05 12:58:13.984,SWAP,0.76349,0.7626622420069651,0.76379,0.7646260166070259,0.0
LP_1,LOST,AUD,BS,2021-04-05 17:39:56.495,SWAP,0.765355,0.7656019215349985,0.765255,0.76474302538354,0.0
LP_1,LOST,AUD,BS,2021-04-05 22:00:23.331,SWAP,0.765215,0.7668085347101362,0.765115,0.7638977492548382,0.0
LP_1,LOST,AUD,SB,2021-04-06 07:50:16.178,SWAP,0.763235,0.7627172516620556,0.763535,0.7640756457309972,0.0
LP_1,LOST,AUD,BS,2021-04-06 13:25:10.025,SWAP,0.76414,0.764303012856777,0.76404,0.7638469974542271,0.0
LP_1,LOST,AUD,BS,2021-04-06 15:00:07.235,SWAP,0.7657799999999999,0.767276597305874,0.7656799999999999,0.764521019159011,0.0
LP_1,LOST,AUD,BS,2021-04-06 16:08:17.519,SWAP,0.7656499999999999,0.7664580331854586,0.76555,0.7646317539216025,0.0
LP_1,LOST,AUD,SB,2021-04-06 18:00:58.736,SWAP,0.765485,0.7650494949352629,0.7657849999999999,0.7660636516071089,0.0
LP_1,LOST,AUD,BS,2021-04-06 20:25:32.915,SWAP,0.766925,0.7680044920882692,0.766825,0.7657237413664191,0.0
LP_1,LOST,AUD,SB,2021-04-06 21:02:04.952,SWAP,0.7663099999999999,0.7661950093287557,0.7666099999999999,0.7666568083895571,0.0
LP_1,LOST,EUR,BS,2021-04-05 11:03:55.699,SWAP,1.17518,1.176671130904118,1.17558,1.17426847124267,0.0
LP_1,LOST,EUR,SB,2021-04-05 14:22:02.680,SWAP,1.18067,1.180187693616415,1.18147,1.18139269500163,0.0
LP_1,LOST,EUR,BS,2021-04-05 16:52:36.614,SWAP,1.18171,1.181952405628594,1.18211,1.181300119861193,0.0
LP_1,LOST,EUR,SB,2021-04-05 16:55:29.419,SWAP,1.18145,1.180528115217285,1.18225,1.182570932044234,0.0
