LP,OutCome,TradeCcy,Side,TradeTime,ProductType,PriceShown,MissedByPIPS
LP_1,LOST,AUD,S,2021-04-02 10:54:05.577,SPOT,0.7604507109407733,4.092890592267695
LP_1,LOST,AUD,B,2021-04-02 14:30:50.714,SPOT,0.7606184722301674,1.2847223016732023
LP_1,LOST,AUD,B,2021-04-02 15:14:59.875,SPOT,0.7615690539745988,4.590539745987776
LP_1,LOST,AUD,S,2021-04-02 15:14:59.875,SPOT,0.7601276815479328,1.4231845206735816
LP_1,LOST,AUD,S,2021-04-02 15:14:59.875,SPOT,0.7598453460724416,0.8465392755852008
LP_1,LOST,AUD,B,2021-04-02 15:14:59.875,SPOT,0.7608620268908752,0.9202689087517424
LP_1,LOST,AUD,S,2021-04-02 15:14:59.875,SPOT,0.7603094202373487,0.5057976265132602
LP_1,LOST,AUD,B,2021-04-02 15:14:59.875,SPOT,0.7610460171759397,1.86017175939579
LP_1,LOST,AUD,B,2021-04-05 13:50:13.258,SPOT,0.7651733279351959,1.4332793519578058
LP_1,LOST,AUD,B,2021-04-05 14:38:08.536,SPOT,0.7677535087366006,9.435087366005401
LP_1,LOST,AUD,B,2021-04-05 19:37:00.571,SPOT,0.7657311511721968,2.1115117219672186
LP_1,LOST,AUD,S,2021-04-05 22:03:45.400,SPOT,0.7651320719374959,0.479280625041989
LP_1,LOST,AUD,S,2021-04-05 22:10:02.085,SPOT,0.7651702211050374,0.09778894962675366
LP_1,LOST,AUD,B,2021-04-06 07:07:15.198,SPOT,0.7629165475772085,0.06547577208415589
LP_1,LOST,AUD,B,2021-04-06 07:27:35.401,SPOT,0.7633380929990111,0.3809299901103014
LP_1,LOST,AUD,B,2021-04-06 09:55:20.187,SPOT,0.7615159240311641,0.659240311640108
LP_1,LOST,AUD,S,2021-04-06 10:29:58.319,SPOT,0.7606926907920609,1.6730920793917026
LP_1,LOST,AUD,B,2021-04-06 11:50:50.097,SPOT,0.763207994418987,3.5799441898698436
LP_1,LOST,AUD,S,2021-04-06 16:12:31.254,SPOT,0.7642639049467037,1.9609505329631904
LP_1,LOST,AUD,B,2021-04-06 16:23:51.156,SPOT,0.767356672111897,6.766721118969254
