LP,Symbol,Side,TradeQuantityUSD,Price
LP_1,EURUSD,B,0,1.2052925916870705
LP_1,EURUSD,B,1,1.208850493954206
LP_1,EURUSD,B,3,1.196924212144912
LP_1,EURUSD,B,4,1.206446038338086
LP_1,EURUSD,B,5,1.2061495239197555
LP_1,EURUSD,B,6,1.1998890068918031
LP_1,EURUSD,B,9,1.2119536141650913
LP_1,EURUSD,S,0,1.200082534899694
LP_1,EURUSD,S,1,1.2052734346335956
LP_1,EURUSD,S,3,1.2093809757394347
LP_1,EURUSD,S,4,1.2102343520102141
LP_1,EURUSD,S,5,1.1983286359344685
LP_1,EURUSD,S,6,1.2108674312559518
LP_1,EURUSD,S,8,1.18805
LP_1,EURUSD,S,9,1.2075049437272822
LP_2,EURUSD,B,0,1.2074007274084801
LP_2,EURUSD,B,1,1.2087824236491116
LP_2,EURUSD,B,3,1.2075583066756628
LP_2,EURUSD,B,4,1.2178993261984883
LP_2,EURUSD,B,5,1.2105287588617737
LP_2,EURUSD,B,6,1.205532805525503
LP_2,EURUSD,B,9,1.2083397345833946
LP_2,EURUSD,S,0,1.2041456457628978
LP_2,EURUSD,S,1,1.2070965540098075
LP_2,EURUSD,S,3,1.2106538587451816
LP_2,EURUSD,S,4,1.2130699071920537
LP_2,EURUSD,S,5,1.2140710736801361
LP_2,EURUSD,S,6,1.208281162406392
LP_2,EURUSD,S,9,1.21887
LP_3,EURUSD,B,0,1.2051592577563934
LP_3,EURUSD,B,1,1.2077864021128504
LP_3,EURUSD,B,3,1.2073634261583075
LP_3,EURUSD,B,4,1.2079860867862031
LP_3,EURUSD,B,5,1.202772275857372
LP_3,EURUSD,B,6,1.2085859571241893
LP_3,EURUSD,B,7,1.2179
LP_3,EURUSD,B,8,1.18181
LP_3,EURUSD,B,9,1.1893500367397754
LP_3,EURUSD,S,0,1.208466449248665
LP_3,EURUSD,S,1,1.20131
LP_3,EURUSD,S,3,1.2034467970701803
LP_3,EURUSD,S,4,1.1997967867057742
LP_3,EURUSD,S,5,1.206982361469666
LP_3,EURUSD,S,6,1.2036431494387065
LP_3,EURUSD,S,9,1.208779340092153
LP_4,EURUSD,B,0,1.211004872604028
LP_4,EURUSD,B,1,1.199700115563796
LP_4,EURUSD,B,3,1.1955469528534188
LP_4,EURUSD,B,4,1.2051898411729516
LP_4,EURUSD,B,5,1.204188686409204
LP_4,EURUSD,B,6,1.2035484584495004
LP_4,EURUSD,B,9,1.2190925396252599
LP_4,EURUSD,S,0,1.21457951568415
LP_4,EURUSD,S,1,1.2010245337736583
LP_4,EURUSD,S,3,1.205141620577586
LP_4,EURUSD,S,4,1.207326103952092
LP_4,EURUSD,S,5,1.2030416089976832
LP_4,EURUSD,S,6,1.208531327962209
LP_4,EURUSD,S,7,1.21064
LP_4,EURUSD,S,9,1.2042720886804945
LP_5,EURUSD,B,0,1.2057083530281338
LP_5,EURUSD,B,1,1.2184133594729865
LP_5,EURUSD,B,3,1.203854051058851
LP_5,EURUSD,B,4,1.2038598560339768
LP_5,EURUSD,B,5,1.2100491005759637
LP_5,EURUSD,B,6,1.19327
LP_5,EURUSD,B,9,1.20849
LP_5,EURUSD,S,0,1.2108154693592417
LP_5,EURUSD,S,1,1.1971096002257746
LP_5,EURUSD,S,3,1.2053481380454407
LP_5,EURUSD,S,4,1.2122757351336035
LP_5,EURUSD,S,5,1.2122299429216226
LP_5,EURUSD,S,6,1.1972070589163712
LP_5,EURUSD,S,9,1.22245
LP_6,EURUSD,B,0,1.2022654584662322
LP_6,EURUSD,B,1,1.199964910368295
LP_6,EURUSD,B,3,1.2127550516779906
LP_6,EURUSD,B,4,1.2012700000000003
LP_6,EURUSD,B,5,1.2047019039904847
LP_6,EURUSD,B,6,1.2170517532577156
LP_6,EURUSD,B,9,1.21278
LP_6,EURUSD,S,0,1.2151116063207636
LP_6,EURUSD,S,1,1.22043
LP_6,EURUSD,S,3,1.21335
LP_6,EURUSD,S,4,1.2010451773878525
LP_6,EURUSD,S,5,1.21503
LP_6,EURUSD,S,6,1.2042948956563961
LP_7,EURUSD,B,0,1.2154964622560704
LP_7,EURUSD,B,1,1.2105249486516794
LP_7,EURUSD,B,3,1.22083
LP_7,EURUSD,B,4,1.2070229645489803
LP_7,EURUSD,B,5,1.2032856393216969
LP_7,EURUSD,B,6,1.2189661548430537
LP_7,EURUSD,B,8,1.1814
LP_7,EURUSD,B,9,1.203452625881446
LP_7,EURUSD,S,0,1.1994435249780686
LP_7,EURUSD,S,1,1.207376343487071
LP_7,EURUSD,S,4,1.20706
LP_7,EURUSD,S,5,1.2100118686181591
LP_7,EURUSD,S,6,1.2016717077127022
LP_8,EURUSD,B,0,1.2122725558429799
LP_8,EURUSD,B,1,1.18516
LP_8,EURUSD,B,4,1.21739
LP_8,EURUSD,B,6,1.20815
LP_8,EURUSD,B,8,1.20696
LP_8,EURUSD,B,9,1.22022
LP_8,EURUSD,S,3,1.1930580815269092
LP_8,EURUSD,S,4,1.19262
LP_8,EURUSD,S,5,1.1890321825877237
LP_8,EURUSD,S,6,1.21137
