LP,ExecVenue,Symbol,NumberOfFills,NumberOfRejects,FillVolume,RejectVolume,AvgTradeSizeUSD,SpreadPaid,RejectCost,ToxicityOfFills,RejectToFill,EffectiveSpread,VolumeShare,RejectCostUSD
LP1,Direct,EURUSD,130,2,95.565902,1.9149794999999998,735122.323076923,74.03268165670927,115.14483575413183,11.562701516704399,0.02003831345619487,76.33998996841264,5.690445160671925,220.50000000002947
LP1,Direct,USDJPY,53,2,45.4,1.9,856603.7735849057,40.1833536411604,94.42491449599586,23.280354703328115,0.04185022026431718,44.13505711125715,2.7033304231723303,179.40733754239213
LP2,Direct,EURUSD,174,37,94.51416599999999,20.286476,543184.8620689656,19.277533486342403,58.73371008354318,4.205718749075677,0.21463952821633112,31.884109309068883,5.627819831906604,1191.5000000007567
LP2,Direct,USDJPY,124,17,85.19999999999999,10.7,687096.7741935484,24.416912214984862,73.32748072877764,13.05446115844485,0.1255868544600939,33.6258798651952,5.073210397671421,784.6040437979208
LP3,Direct,EURUSD,224,35,163.3858495,28.773034499999994,729401.1138392857,28.634670715467504,29.62843561047215,-2.4940960385934177,0.17610481316498583,33.85238083302051,9.728765146898803,852.5000000011436
LP3,Direct,USDJPY,154,35,119.0,35.8,772727.2727272727,11.184245651090395,43.50719171586359,-0.611120012846101,0.30084033613445377,24.272963831156922,7.085822034306327,1557.5574634279164
LP4,Direct,EURUSD,193,10,131.74790950000005,4.9450935,682631.6554404146,13.666251000354965,30.3330968363529,1.0816110899857496,0.03753451207512327,14.804788989834936,7.844892774024339,150.0000000003193
LP4,Direct,USDJPY,127,2,75.89999999999999,0.3,597637.7952755905,14.82737866863292,62.238542551125896,1.31552849482861,0.003952569169960475,15.073380813103773,4.519444473981935,18.671562765337768
LP5,Direct,EURUSD,414,8,422.494874,29.752462999999995,1020519.0193236715,10.677052616742143,-26.149095622787282,-1.4556389623830168,0.07042088515374507,8.835610157015543,25.157340231686348,-778.0000000004404
LP5,Direct,USDJPY,246,0,202.3,0.0,822357.7235772358,21.192708380122667,0.0,8.545474803998388,0.0,21.192708380122667,12.045897458320757,0.0
LP6,Direct,EURUSD,245,58,152.001245,38.667131,620413.2448979592,17.42748883405755,15.5558476784457,-4.822328922366081,0.2543869361070036,21.384693263524596,9.050872025739451,601.4999999985057
LP6,Direct,USDJPY,137,44,91.89999999999999,33.1,670802.9197080293,17.154269264861355,41.05229182879992,2.179344747532287,0.36017410228509256,31.940241621045008,5.47216004161976,1358.8308595332776
