LP,Symbol,Side,TradeQuantityUSD,Price
LP_1,AUDUSD,B,357356021.58039725,0.7755316754153253
LP_1,AUDUSD,S,43451525.28316836,0.77151
LP_1,EURUSD,B,1041190827.6625099,1.2038174606947103
LP_1,EURUSD,S,476948906.0464601,1.2020865975839612
LP_1,GBPUSD,B,1818279994.6727371,1.4057393679325811
LP_1,GBPUSD,S,1995503548.028307,1.395402783016437
LP_1,USDJPY,B,220362843.3845006,108.51254272964296
LP_1,USDJPY,S,886471491.9624386,108.86794956955757
LP_2,AUDUSD,B,799887527.1895639,0.7757321068646879
LP_2,AUDUSD,S,282162398.9142224,0.7742177956418558
LP_2,EURUSD,B,1170617540.7391417,1.2110432776837001
LP_2,EURUSD,S,667580134.2163943,1.2022103324427629
LP_2,GBPUSD,B,949624709.9073747,1.3956650209446508
LP_2,GBPUSD,S,1592055918.345835,1.3975118695552349
LP_2,USDJPY,B,716006661.1447835,108.98921456177595
LP_2,USDJPY,S,552347868.0092375,108.93843514634264
LP_3,AUDUSD,B,278054801.7322761,0.7832933554363483
LP_3,AUDUSD,S,118040122.18166506,0.7857321411329454
LP_3,EURUSD,B,661019478.2619505,1.2044229281024328
LP_3,EURUSD,S,889811710.899278,1.2013964630409288
LP_3,GBPUSD,B,1234636602.6630414,1.4026146134973216
LP_3,GBPUSD,S,911732584.9205678,1.4079574593166528
LP_3,USDJPY,B,327687194.2996513,108.73787285932946
LP_3,USDJPY,S,790797540.4371973,108.87547720754397
LP_4,AUDUSD,B,205698705.73459023,0.7756076769762162
LP_4,AUDUSD,S,398483912.5137709,0.775296876247861
LP_4,EURUSD,B,586443039.1759686,1.2098590107365192
LP_4,EURUSD,S,92165423.0102123,1.218387295588639
LP_4,GBPUSD,B,724036623.3960845,1.3910294427384382
LP_4,GBPUSD,S,574648707.8644366,1.3837088194962972
LP_4,USDJPY,B,21002229.0609777,108.7482
LP_4,USDJPY,S,109211474.98302162,109.13794191630565
LP_5,AUDUSD,B,492858310.1916854,0.7758973625278406
LP_5,AUDUSD,S,87259994.15150866,0.7762194732802546
LP_5,EURUSD,B,473121301.90223175,1.1945263953592582
LP_5,EURUSD,S,330896796.86665404,1.1951208081948785
LP_5,GBPUSD,B,901721571.2987648,1.404545237418949
LP_5,GBPUSD,S,854800081.4362155,1.4033948563226475
LP_5,USDJPY,B,258975907.0111904,109.05262928191752
LP_5,USDJPY,S,383433310.52572465,108.94392453181308
LP_6,AUDUSD,B,156196391.52120337,0.7777854346967783
LP_6,AUDUSD,S,141796470.10853127,0.7766400854955676
LP_6,EURUSD,B,138139780.63114113,1.1838102473867393
LP_6,EURUSD,S,404715323.10460126,1.2179163755998954
LP_6,GBPUSD,B,357036546.6375209,1.386343698320523
LP_6,GBPUSD,S,1051358623.5322597,1.4006699531917317
LP_6,USDJPY,B,214387660.88103876,109.23720528671285
LP_6,USDJPY,S,20102491.15526676,108.93087000000001
LP_7,AUDUSD,S,89284905.30597295,0.77623
LP_7,EURUSD,B,285611764.9086161,1.2052294584499346
LP_7,EURUSD,S,196268230.4284144,1.2103152015203331
LP_7,GBPUSD,B,132279356.16785288,1.38577
LP_7,GBPUSD,S,544589645.8797646,1.4012963091939798
LP_7,USDJPY,B,282202726.2300253,108.64713624865492
LP_7,USDJPY,S,101975227.94594988,108.35959958864828
LP_8,AUDUSD,B,18843743.092896044,0.77578
LP_8,AUDUSD,S,34619981.69338388,0.773281818043617
LP_8,EURUSD,B,98253364.69539739,1.22022
LP_8,EURUSD,S,242639882.5070631,1.2072500480994068
LP_8,GBPUSD,B,30845353.683098085,1.41583
LP_8,GBPUSD,S,266644067.94604567,1.4123901719435161
