Date,CreatedBy,CreatedFor,LP,MarketShare
2017-02-01,,,LP1masked,6.904769922619051
2017-02-02,,,LP1masked,5.386734748574526
2017-02-03,,,LP1masked,2.4253065341882274
2017-02-06,,,LP1masked,3.033364997386887
2017-02-07,,,LP1masked,5.166254869620674
2017-02-08,,,LP1masked,9.103199170347096
2017-02-09,,,LP1masked,4.740722199249473
2017-02-10,,,LP1masked,22.656854161901446
2017-02-12,,,LP1masked,0.0
2017-02-13,,,LP1masked,19.815961241565088
2017-02-14,,,LP1masked,10.645271602105552
2017-02-15,,,LP1masked,4.915800394076995
2017-02-16,,,LP1masked,6.953049345991086
2017-02-17,,,LP1masked,8.22167456721979
2017-02-20,,,LP1masked,0.6486180268656938
2017-02-21,,,LP1masked,3.8263870775683566
2017-02-22,,,LP1masked,4.127304903741757
2017-02-23,,,LP1masked,4.316628070036119
2017-02-24,,,LP1masked,9.37089305688982
2017-02-27,,,LP1masked,4.941271838589476
2017-02-28,,,LP1masked,9.447482094648143
2017-03-01,,,LP1masked,18.840224832374048
2017-03-02,,,LP1masked,12.346338410406629
2017-03-03,,,LP1masked,4.86500774976342
2017-03-06,,,LP1masked,6.677246085448524
2017-03-07,,,LP1masked,0.0
2017-03-08,,,LP1masked,5.770796872761931
2017-03-09,,,LP1masked,4.510715700995791
2017-03-10,,,LP1masked,7.065310097587006
2017-03-13,,,LP1masked,12.412235060876768
2017-03-14,,,LP1masked,1.7139477597143922
2017-03-15,,,LP1masked,4.941701793717426
2017-03-16,,,LP1masked,3.6131069486027263
2017-03-17,,,LP1masked,1.8925256767585694
2017-03-20,,,LP1masked,22.853861180747643
2017-03-21,,,LP1masked,15.644639471279628
2017-03-22,,,LP1masked,8.522001283623256
2017-03-23,,,LP1masked,3.012903826742456
2017-03-24,,,LP1masked,18.685026607218006
2017-03-26,,,LP1masked,0.0
2017-03-27,,,LP1masked,9.936634843627058
2017-03-28,,,LP1masked,23.529940177157428
2017-03-29,,,LP1masked,6.956583927164813
2017-03-30,,,LP1masked,5.945661230959759
2017-03-31,,,LP1masked,0.43946592894917996
2017-04-03,,,LP1masked,8.608366467298616
2017-04-04,,,LP1masked,4.949079597167059
2017-04-05,,,LP1masked,2.39129309686633
2017-04-06,,,LP1masked,6.890606509578754
2017-04-07,,,LP1masked,3.4116192915803616
2017-04-09,,,LP1masked,0.0
2017-04-10,,,LP1masked,18.272001379780132
2017-04-11,,,LP1masked,5.688696996700234
2017-04-12,,,LP1masked,0.0
2017-04-13,,,LP1masked,0.0
2017-04-14,,,LP1masked,10.648447882236685
2017-04-17,,,LP1masked,16.771032082808986
2017-04-18,,,LP1masked,19.702170002046426
2017-04-19,,,LP1masked,5.445851225669167
2017-04-20,,,LP1masked,7.293054781512871
2017-04-21,,,LP1masked,4.135946943919362
2017-04-24,,,LP1masked,7.766874913206346
2017-04-25,,,LP1masked,2.753845833328357
2017-04-26,,,LP1masked,1.4817074861843926
2017-04-27,,,LP1masked,3.3299066761987723
2017-04-28,,,LP1masked,4.745300025004765
2017-02-01,,,LP2masked,14.8587381887782
2017-02-02,,,LP2masked,9.246221933238298
2017-02-03,,,LP2masked,8.936203875711543
2017-02-06,,,LP2masked,4.873392194814048
2017-02-07,,,LP2masked,7.726946066608546
2017-02-08,,,LP2masked,14.420261906274332
2017-02-09,,,LP2masked,10.799341466279303
2017-02-10,,,LP2masked,3.999292399947268
2017-02-12,,,LP2masked,20.0
2017-02-13,,,LP2masked,17.97466212299886
2017-02-14,,,LP2masked,10.453706561183374
2017-02-15,,,LP2masked,10.631225438949274
2017-02-16,,,LP2masked,9.37156061690106
2017-02-17,,,LP2masked,7.598995395553425
2017-02-20,,,LP2masked,9.177195926328539
2017-02-21,,,LP2masked,13.034779038975907
2017-02-22,,,LP2masked,17.00880923704045
2017-02-23,,,LP2masked,10.339987875604946
2017-02-24,,,LP2masked,7.8278047715312455
2017-02-27,,,LP2masked,10.889023295518149
2017-02-28,,,LP2masked,10.771283448749932
2017-03-01,,,LP2masked,8.944834428622706
2017-03-02,,,LP2masked,7.64923862990088
2017-03-03,,,LP2masked,9.769861806108034
2017-03-06,,,LP2masked,1.1075093088021808
2017-03-07,,,LP2masked,0.0
2017-03-08,,,LP2masked,7.866709970973673
2017-03-09,,,LP2masked,3.990113986144016
2017-03-10,,,LP2masked,6.643223006804163
2017-03-13,,,LP2masked,5.9052857280031965
2017-03-14,,,LP2masked,13.271139862072994
2017-03-15,,,LP2masked,13.360971473580625
2017-03-16,,,LP2masked,3.1014206441768444
2017-03-17,,,LP2masked,4.2570863288532665
2017-03-20,,,LP2masked,13.101104479839492
2017-03-21,,,LP2masked,7.287503742825787
2017-03-22,,,LP2masked,7.212176730568521
2017-03-23,,,LP2masked,13.845421764007448
2017-03-24,,,LP2masked,5.965891321844385
2017-03-26,,,LP2masked,0.0
2017-03-27,,,LP2masked,14.845962779409245
2017-03-28,,,LP2masked,8.466705010453872
2017-03-29,,,LP2masked,10.722996940775614
2017-03-30,,,LP2masked,9.581725295969665
2017-03-31,,,LP2masked,4.939484421143982
2017-04-03,,,LP2masked,0.6233799410953947
2017-04-04,,,LP2masked,12.157264333277126
2017-04-05,,,LP2masked,12.361936557969301
2017-04-06,,,LP2masked,13.917933409261007
2017-04-07,,,LP2masked,10.92930281269274
2017-04-09,,,LP2masked,14.285714285714285
2017-04-10,,,LP2masked,22.780109323523
2017-04-11,,,LP2masked,2.3585595876067407
2017-04-12,,,LP2masked,7.787160934815576
2017-04-13,,,LP2masked,0.3145483904039156
2017-04-14,,,LP2masked,0.0
2017-04-17,,,LP2masked,8.942845860923251
2017-04-18,,,LP2masked,2.051849968671097
2017-04-19,,,LP2masked,4.101962222271333
2017-04-20,,,LP2masked,8.974334608378662
2017-04-21,,,LP2masked,6.726160207114535
2017-04-24,,,LP2masked,7.463296135457141
2017-04-25,,,LP2masked,10.56934801137438
2017-04-26,,,LP2masked,7.507636099794274
2017-04-27,,,LP2masked,6.876593442927042
2017-04-28,,,LP2masked,10.975951620242656
2017-02-01,,,LP3masked,8.853286602323566
2017-02-02,,,LP3masked,21.169788951738095
2017-02-03,,,LP3masked,14.483408149485498
2017-02-06,,,LP3masked,11.79080691093798
2017-02-07,,,LP3masked,4.31499304224632
2017-02-08,,,LP3masked,2.6162598214628523
2017-02-09,,,LP3masked,7.585155518799157
2017-02-10,,,LP3masked,17.916766352891365
2017-02-12,,,LP3masked,40.0
2017-02-13,,,LP3masked,0.0
2017-02-14,,,LP3masked,3.561699344843796
2017-02-15,,,LP3masked,8.723268021331078
2017-02-16,,,LP3masked,12.44157918588165
2017-02-17,,,LP3masked,10.583774744253727
2017-02-20,,,LP3masked,27.855744367182144
2017-02-21,,,LP3masked,15.824867840182844
2017-02-22,,,LP3masked,10.640934956728923
2017-02-23,,,LP3masked,11.852250553315134
2017-02-24,,,LP3masked,14.322974741604572
2017-02-27,,,LP3masked,8.181440417190283
2017-02-28,,,LP3masked,17.517502384789886
2017-03-01,,,LP3masked,8.537449378469647
2017-03-02,,,LP3masked,15.666645702772836
2017-03-03,,,LP3masked,26.956453131144016
2017-03-06,,,LP3masked,18.143110340751935
2017-03-07,,,LP3masked,44.828454951437344
