LP,OutCome,Symbol,Side,TradeQuantity,TradeCcy,TradeTime,AllInRate,PriceShown,ProductType,MissedByPIPS,MissedByUSDPM
LP_1,LOST,AUDUSD,S,198342928.593047,AUD,2021-04-02 10:54:05.577,0.7608600000000001,0.7604507109407733,SPOT,4.092890592267695,537.929526097769
LP_1,WON,AUDUSD,S,151804362.0977551,AUD,2021-04-02 12:12:06.090,0.7606,0.7606,SPOT,-0.0,-0.0
LP_1,LOST,AUDUSD,B,15414795.66600174,AUD,2021-04-02 14:30:50.714,0.7604900000000001,0.7606184722301674,SPOT,1.2847223016732023,168.93349046975814
LP_1,WON,AUDUSD,S,173989745.9978238,AUD,2021-04-02 15:01:37.076,0.7596700000000001,0.7596700000000001,SPOT,-0.0,-0.0
LP_1,LOST,AUDUSD,B,112184169.4926843,AUD,2021-04-02 15:14:59.875,0.7611100000000001,0.7615690539745988,SPOT,4.590539745987776,603.1374894546193
LP_1,LOST,AUDUSD,S,43266005.43572567,AUD,2021-04-02 15:14:59.875,0.7602700000000001,0.7601276815479328,SPOT,1.4231845206735816,187.194617790154
LP_1,LOST,AUDUSD,S,105542307.9174943,AUD,2021-04-02 15:14:59.875,0.7599300000000001,0.7598453460724416,SPOT,0.8465392755852008,111.39700703821643
LP_1,LOST,AUDUSD,B,44207027.54869126,AUD,2021-04-02 15:14:59.875,0.7607700000000001,0.7608620268908752,SPOT,0.9202689087517424,120.96545720141627
LP_1,LOST,AUDUSD,S,18889841.30928293,AUD,2021-04-02 15:14:59.875,0.76036,0.7603094202373487,SPOT,0.5057976265132602,66.52080942093352
LP_1,LOST,AUDUSD,B,61419276.80000663,AUD,2021-04-02 15:14:59.875,0.7608600000000001,0.7610460171759397,SPOT,1.86017175939579,244.48279044708698
LP_1,WON,AUDUSD,B,80690121.96501717,AUD,2021-04-05 11:52:11.415,0.7631000000000001,0.7631000000000001,SPOT,0.0,0.0
LP_1,LOST,AUDUSD,B,104964140.6629235,AUD,2021-04-05 13:50:13.258,0.7650300000000001,0.7651733279351959,SPOT,1.4332793519578058,187.34943099718572
LP_1,LOST,AUDUSD,B,212312487.0471656,AUD,2021-04-05 14:38:08.536,0.7668100000000001,0.7677535087366006,SPOT,9.435087366005401,1230.4335319055504
LP_1,LOST,AUDUSD,B,103924077.2370249,AUD,2021-04-05 19:37:00.571,0.7655200000000001,0.7657311511721968,SPOT,2.1115117219672186,275.8271138529889
LP_1,LOST,AUDUSD,S,15289813.33365664,AUD,2021-04-05 22:03:45.400,0.7651800000000001,0.7651320719374959,SPOT,0.479280625041989,62.6363241383876
LP_1,LOST,AUDUSD,S,20563513.61097768,AUD,2021-04-05 22:10:02.085,0.7651800000000001,0.7651702211050374,SPOT,0.09778894962675366,12.779862205825054
LP_1,WON,AUDUSD,B,23588106.48787767,AUD,2021-04-05 22:40:09.342,0.7655000000000001,0.7655000000000001,SPOT,0.0,0.0
LP_1,LOST,AUDUSD,B,121013775.9218924,AUD,2021-04-06 07:07:15.198,0.7629100000000001,0.7629165475772085,SPOT,0.06547577208415589,8.582371719301207
LP_1,LOST,AUDUSD,B,15708609.9172011,AUD,2021-04-06 07:27:35.401,0.7633000000000001,0.7633380929990111,SPOT,0.3809299901103014,49.90567144114166
LP_1,LOST,AUDUSD,B,53638156.53836355,AUD,2021-04-06 09:55:20.187,0.7614500000000001,0.7615159240311641,SPOT,0.659240311640108,86.57696652969449
LP_1,LOST,AUDUSD,S,47059870.34249119,AUD,2021-04-06 10:29:58.319,0.7608600000000001,0.7606926907920609,SPOT,1.6730920793917026,219.89486625551
LP_1,WON,AUDUSD,S,113229559.7693883,AUD,2021-04-06 11:28:53.741,0.76146,0.76146,SPOT,-0.0,-0.0
LP_1,LOST,AUDUSD,B,131053881.2947925,AUD,2021-04-06 11:50:50.097,0.76285,0.763207994418987,SPOT,3.5799441898698436,469.2854676371372
LP_1,LOST,AUDUSD,S,236632462.3813853,AUD,2021-04-06 16:12:31.254,0.76446,0.7642639049467037,SPOT,1.9609505329631904,256.5144720407808
